,State,State Code,City,Occupation Code,Occupation,Employment Count,Average Hourly Wages,Average Annual Wages
72665,MI,24340,"Grand Rapids-Wyoming, MI",15-1133,"Software Developers, Systems Software",710,39.37,81880
72666,MI,24340,"Grand Rapids-Wyoming, MI",15-1134,Web Developers,360,27.61,57430
72667,MI,24340,"Grand Rapids-Wyoming, MI",15-1141,Database Administrators,290,35.12,73040
72668,MI,24340,"Grand Rapids-Wyoming, MI",15-1142,Network and Computer Systems Administrators,1040,32.86,68350
72669,MI,24340,"Grand Rapids-Wyoming, MI",15-1143,Computer Network Architects,290,35.66,74160
72670,MI,24340,"Grand Rapids-Wyoming, MI",15-1151,Computer User Support Specialists,2330,22.63,47070
72671,MI,24340,"Grand Rapids-Wyoming, MI",15-1152,Computer Network Support Specialists,390,26.9,55940
72672,MI,24340,"Grand Rapids-Wyoming, MI",15-1199,"Computer Occupations, All Other",840,29.36,61070
72673,MI,24340,"Grand Rapids-Wyoming, MI",15-2011,Actuaries,90,43.82,91150
72674,MI,24340,"Grand Rapids-Wyoming, MI",15-2031,Operations Research Analysts,170,37.79,78600
73201,MI,27100,"Jackson, MI",15-0000,Computer and Mathematical Occupations,1210,41.62,86570
73202,MI,27100,"Jackson, MI",15-1121,Computer Systems Analysts,480,47.25,98290
73203,MI,27100,"Jackson, MI",15-1132,"Software Developers, Applications",100,42.41,88220
73204,MI,27100,"Jackson, MI",15-1133,"Software Developers, Systems Software",**,51.5,107120
73205,MI,27100,"Jackson, MI",15-1142,Network and Computer Systems Administrators,50,34.42,71580
73206,MI,27100,"Jackson, MI",15-1151,Computer User Support Specialists,210,23.86,49630
73207,MI,27100,"Jackson, MI",15-1199,"Computer Occupations, All Other",200,45,93600
73461,MI,28020,"Kalamazoo-Portage, MI",15-0000,Computer and Mathematical Occupations,2340,32.57,67750
73462,MI,28020,"Kalamazoo-Portage, MI",15-1121,Computer Systems Analysts,360,35.24,73300
73463,MI,28020,"Kalamazoo-Portage, MI",15-1131,Computer Programmers,40,35.57,73980
73464,MI,28020,"Kalamazoo-Portage, MI",15-1132,"Software Developers, Applications",420,40.02,83230
73465,MI,28020,"Kalamazoo-Portage, MI",15-1133,"Software Developers, Systems Software",90,40.74,84740
73466,MI,28020,"Kalamazoo-Portage, MI",15-1134,Web Developers,70,28.02,58290
73467,MI,28020,"Kalamazoo-Portage, MI",15-1141,Database Administrators,60,36.92,76780
73468,MI,28020,"Kalamazoo-Portage, MI",15-1142,Network and Computer Systems Administrators,290,30.93,64330
73469,MI,28020,"Kalamazoo-Portage, MI",15-1151,Computer User Support Specialists,450,23.83,49570
73470,MI,28020,"Kalamazoo-Portage, MI",15-1152,Computer Network Support Specialists,210,26.64,55410
73471,MI,28020,"Kalamazoo-Portage, MI",15-1199,"Computer Occupations, All Other",220,33.13,68920
73472,MI,28020,"Kalamazoo-Portage, MI",15-2041,Statisticians,40,39.25,81640
73836,MI,29620,"Lansing-East Lansing, MI",15-0000,Computer and Mathematical Occupations,7650,33.36,69390
73837,MI,29620,"Lansing-East Lansing, MI",15-1121,Computer Systems Analysts,700,35.81,74480
73838,MI,29620,"Lansing-East Lansing, MI",15-1122,Information Security Analysts,90,37.03,77010
73839,MI,29620,"Lansing-East Lansing, MI",15-1131,Computer Programmers,150,35.87,74600
73840,MI,29620,"Lansing-East Lansing, MI",15-1132,"Software Developers, Applications",2350,36.95,76860
73841,MI,29620,"Lansing-East Lansing, MI",15-1133,"Software Developers, Systems Software",500,42.04,87450
73842,MI,29620,"Lansing-East Lansing, MI",15-1134,Web Developers,210,32.92,68480
73843,MI,29620,"Lansing-East Lansing, MI",15-1141,Database Administrators,120,38.42,79910
73844,MI,29620,"Lansing-East Lansing, MI",15-1142,Network and Computer Systems Administrators,360,33.44,69560
73845,MI,29620,"Lansing-East Lansing, MI",15-1143,Computer Network Architects,110,36.79,76520
73846,MI,29620,"Lansing-East Lansing, MI",15-1151,Computer User Support Specialists,2040,25.97,54010
73847,MI,29620,"Lansing-East Lansing, MI",15-1152,Computer Network Support Specialists,230,26.37,54860
73848,MI,29620,"Lansing-East Lansing, MI",15-1199,"Computer Occupations, All Other",460,34.26,71260
73849,MI,29620,"Lansing-East Lansing, MI",15-2011,Actuaries,170,33.88,70470
73850,MI,29620,"Lansing-East Lansing, MI",15-2031,Operations Research Analysts,50,35.08,72970
73851,MI,29620,"Lansing-East Lansing, MI",15-2041,Statisticians,80,36.05,74980
74252,MI,33220,"Midland, MI",15-0000,Computer and Mathematical Occupations,920,*,*
74253,MI,33220,"Midland, MI",15-1121,Computer Systems Analysts,140,37.47,77950
74254,MI,33220,"Midland, MI",15-1131,Computer Programmers,40,*,*
74255,MI,33220,"Midland, MI",15-1132,"Software Developers, Applications",**,38.58,80250
74256,MI,33220,"Midland, MI",15-1142,Network and Computer Systems Administrators,50,32.36,67310
74257,MI,33220,"Midland, MI",15-1151,Computer User Support Specialists,70,20.39,42410
74429,MI,33780,"Monroe, MI",15-0000,Computer and Mathematical Occupations,300,40.23,83690
74430,MI,33780,"Monroe, MI",15-1121,Computer Systems Analysts,40,45.73,95130
74431,MI,33780,"Monroe, MI",15-1142,Network and Computer Systems Administrators,40,35.92,74720
74432,MI,33780,"Monroe, MI",15-1151,Computer User Support Specialists,40,20.77,43200
74619,MI,34740,"Muskegon, MI",15-0000,Computer and Mathematical Occupations,360,33.79,70290
74620,MI,34740,"Muskegon, MI",15-1121,Computer Systems Analysts,70,39.32,81780
74621,MI,34740,"Muskegon, MI",15-1142,Network and Computer Systems Administrators,50,33.97,70660
74622,MI,34740,"Muskegon, MI",15-1151,Computer User Support Specialists,120,24.08,50080
74866,MI,35660,"Niles-Benton Harbor, MI",15-0000,Computer and Mathematical Occupations,750,37.24,77450
74867,MI,35660,"Niles-Benton Harbor, MI",15-1121,Computer Systems Analysts,30,35.75,74370
74868,MI,35660,"Niles-Benton Harbor, MI",15-1132,"Software Developers, Applications",70,38.31,79690
74869,MI,35660,"Niles-Benton Harbor, MI",15-1133,"Software Developers, Systems Software",50,45.76,95180
74870,MI,35660,"Niles-Benton Harbor, MI",15-1142,Network and Computer Systems Administrators,70,33.5,69690
74871,MI,35660,"Niles-Benton Harbor, MI",15-1151,Computer User Support Specialists,150,21.4,44520
75128,MI,40980,"Saginaw, MI",15-0000,Computer and Mathematical Occupations,880,31.2,64890
75129,MI,40980,"Saginaw, MI",15-1121,Computer Systems Analysts,120,35.74,74340
75130,MI,40980,"Saginaw, MI",15-1132,"Software Developers, Applications",90,38.04,79120
75131,MI,40980,"Saginaw, MI",15-1133,"Software Developers, Systems Software",**,40.22,83650
75132,MI,40980,"Saginaw, MI",15-1134,Web Developers,40,26.68,55490
75133,MI,40980,"Saginaw, MI",15-1142,Network and Computer Systems Administrators,110,34.15,71030
75134,MI,40980,"Saginaw, MI",15-1151,Computer User Support Specialists,190,22.4,46600
75135,MI,40980,"Saginaw, MI",15-1152,Computer Network Support Specialists,100,26.1,54290
75136,MI,40980,"Saginaw, MI",15-1199,"Computer Occupations, All Other",70,27.99,58220
75437,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-0000,Computer and Mathematical Occupations,46360,39.79,82770
75438,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1111,Computer and Information Research Scientists,140,47.61,99030
75439,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1121,Computer Systems Analysts,7260,42.04,87440
75440,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1122,Information Security Analysts,580,44.12,91760
75441,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1131,Computer Programmers,1800,35.16,73140
75442,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1132,"Software Developers, Applications",11480,45.17,93960
75443,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1133,"Software Developers, Systems Software",5390,43.18,89810
75444,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1134,Web Developers,980,33.69,70080
75445,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1141,Database Administrators,1100,43.2,89860
75446,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1142,Network and Computer Systems Administrators,3440,41.02,85330
75447,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1143,Computer Network Architects,1460,50.24,104500
75448,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1151,Computer User Support Specialists,6270,26.01,54110
75449,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1152,Computer Network Support Specialists,1500,27.91,58050
75450,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-1199,"Computer Occupations, All Other",4010,37.5,78010
75451,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-2011,Actuaries,110,53.91,112130
75452,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-2031,Operations Research Analysts,730,42.84,89110
75453,MI,47664,"Warren-Troy-Farmington Hills, MI Metropolitan Division",15-2041,Statisticians,120,45.86,95380
76042,MN,20260,"Duluth, MN-WI",15-0000,Computer and Mathematical Occupations,1730,32.76,68150
76043,MN,20260,"Duluth, MN-WI",15-1121,Computer Systems Analysts,300,35.81,74490
76044,MN,20260,"Duluth, MN-WI",15-1131,Computer Programmers,70,30.81,64080
76045,MN,20260,"Duluth, MN-WI",15-1132,"Software Developers, Applications",290,39,81110
76046,MN,20260,"Duluth, MN-WI",15-1134,Web Developers,110,22.66,47140
76047,MN,20260,"Duluth, MN-WI",15-1141,Database Administrators,70,38.64,80370
76048,MN,20260,"Duluth, MN-WI",15-1142,Network and Computer Systems Administrators,230,35.98,74840
76049,MN,20260,"Duluth, MN-WI",15-1143,Computer Network Architects,60,36.07,75020
76050,MN,20260,"Duluth, MN-WI",15-1151,Computer User Support Specialists,300,23.33,48530
76051,MN,20260,"Duluth, MN-WI",15-1152,Computer Network Support Specialists,100,28.63,59560
76052,MN,20260,"Duluth, MN-WI",15-1199,"Computer Occupations, All Other",100,33.27,69200
76053,MN,20260,"Duluth, MN-WI",15-2031,Operations Research Analysts,40,29.54,61430
76437,MN,31860,"Mankato-North Mankato, MN",15-0000,Computer and Mathematical Occupations,970,29.4,61150
76438,MN,31860,"Mankato-North Mankato, MN",15-1121,Computer Systems Analysts,100,39.46,82080
76439,MN,31860,"Mankato-North Mankato, MN",15-1131,Computer Programmers,**,30.42,63280
76440,MN,31860,"Mankato-North Mankato, MN",15-1132,"Software Developers, Applications",160,33.71,70110
76441,MN,31860,"Mankato-North Mankato, MN",15-1142,Network and Computer Systems Administrators,60,35.04,72880
76442,MN,31860,"Mankato-North Mankato, MN",15-1151,Computer User Support Specialists,370,21.09,43870
76443,MN,31860,"Mankato-North Mankato, MN",15-1199,"Computer Occupations, All Other",80,28.8,59900
76728,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-0000,Computer and Mathematical Occupations,79230,42.63,88660
76729,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1111,Computer and Information Research Scientists,220,55.85,116180
76730,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1121,Computer Systems Analysts,14780,44.79,93150
76731,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1122,Information Security Analysts,3200,45.99,95650
76732,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1131,Computer Programmers,3750,43.16,89770
76733,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1132,"Software Developers, Applications",15310,45.22,94050
76734,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1133,"Software Developers, Systems Software",6250,56.12,116740
76735,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1134,Web Developers,2410,38.19,79430
76736,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1141,Database Administrators,1900,43.6,90690
76737,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1142,Network and Computer Systems Administrators,7070,42.38,88160
76738,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1143,Computer Network Architects,3510,51.69,107520
76739,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1151,Computer User Support Specialists,9460,27.72,57670
76740,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1152,Computer Network Support Specialists,2740,29.03,60380
76741,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-1199,"Computer Occupations, All Other",5190,38.03,79090
76742,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-2011,Actuaries,320,58.55,121780
76743,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-2031,Operations Research Analysts,2230,43.99,91500
76744,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-2041,Statisticians,760,45.5,94640
76745,MN,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",15-2090,Miscellaneous Mathematical Science Occupations,**,34.44,71640
77412,MN,40340,"Rochester, MN",15-0000,Computer and Mathematical Occupations,3750,43.66,90810
77413,MN,40340,"Rochester, MN",15-1121,Computer Systems Analysts,380,41.05,85380
77414,MN,40340,"Rochester, MN",15-1132,"Software Developers, Applications",490,43.35,90160
77415,MN,40340,"Rochester, MN",15-1133,"Software Developers, Systems Software",**,46.01,95700
77416,MN,40340,"Rochester, MN",15-1134,Web Developers,30,30.21,62830
77417,MN,40340,"Rochester, MN",15-1141,Database Administrators,60,45.04,93680
77418,MN,40340,"Rochester, MN",15-1142,Network and Computer Systems Administrators,230,36.99,76940
77419,MN,40340,"Rochester, MN",15-1151,Computer User Support Specialists,330,27.93,58100
77420,MN,40340,"Rochester, MN",15-1152,Computer Network Support Specialists,**,31.72,65980
77421,MN,40340,"Rochester, MN",15-1199,"Computer Occupations, All Other",160,38.47,80020
77422,MN,40340,"Rochester, MN",15-2031,Operations Research Analysts,90,40.99,85260
77747,MN,41060,"St. Cloud, MN",15-0000,Computer and Mathematical Occupations,1760,34.01,70750
77748,MN,41060,"St. Cloud, MN",15-1121,Computer Systems Analysts,250,34.91,72620
77749,MN,41060,"St. Cloud, MN",15-1122,Information Security Analysts,40,42.62,88660
77750,MN,41060,"St. Cloud, MN",15-1131,Computer Programmers,70,43.66,90810
77751,MN,41060,"St. Cloud, MN",15-1132,"Software Developers, Applications",330,42.05,87470
77752,MN,41060,"St. Cloud, MN",15-1133,"Software Developers, Systems Software",70,45.46,94560
77753,MN,41060,"St. Cloud, MN",15-1134,Web Developers,90,28.38,59030
77754,MN,41060,"St. Cloud, MN",15-1141,Database Administrators,40,35.38,73600
77755,MN,41060,"St. Cloud, MN",15-1142,Network and Computer Systems Administrators,160,36.07,75030
77756,MN,41060,"St. Cloud, MN",15-1143,Computer Network Architects,50,45.98,95630
77757,MN,41060,"St. Cloud, MN",15-1151,Computer User Support Specialists,410,22.67,47160
77758,MN,41060,"St. Cloud, MN",15-1152,Computer Network Support Specialists,130,31.9,66350
77759,MN,41060,"St. Cloud, MN",15-1199,"Computer Occupations, All Other",110,30.65,63750
78101,MO,16020,"Cape Girardeau, MO-IL",15-0000,Computer and Mathematical Occupations,450,25.5,53040
78102,MO,16020,"Cape Girardeau, MO-IL",15-1121,Computer Systems Analysts,30,28.02,58290
78103,MO,16020,"Cape Girardeau, MO-IL",15-1131,Computer Programmers,**,25.32,52670
78104,MO,16020,"Cape Girardeau, MO-IL",15-1142,Network and Computer Systems Administrators,60,39,81120
78105,MO,16020,"Cape Girardeau, MO-IL",15-1151,Computer User Support Specialists,90,18.48,38440
78106,MO,16020,"Cape Girardeau, MO-IL",15-1152,Computer Network Support Specialists,80,21.02,43720
78107,MO,16020,"Cape Girardeau, MO-IL",15-1199,"Computer Occupations, All Other",60,24.61,51180
78359,MO,17860,"Columbia, MO",15-0000,Computer and Mathematical Occupations,3040,29.76,61890
78360,MO,17860,"Columbia, MO",15-1121,Computer Systems Analysts,**,29.09,60500
78361,MO,17860,"Columbia, MO",15-1122,Information Security Analysts,50,40.19,83600
78362,MO,17860,"Columbia, MO",15-1131,Computer Programmers,440,30.95,64390
78363,MO,17860,"Columbia, MO",15-1132,"Software Developers, Applications",340,39.02,81150
78364,MO,17860,"Columbia, MO",15-1134,Web Developers,120,24.91,51820
78365,MO,17860,"Columbia, MO",15-1141,Database Administrators,70,35.79,74440
78366,MO,17860,"Columbia, MO",15-1142,Network and Computer Systems Administrators,300,33.06,68770
78367,MO,17860,"Columbia, MO",15-1143,Computer Network Architects,130,39.7,82580
78368,MO,17860,"Columbia, MO",15-1151,Computer User Support Specialists,660,20.5,42650
78369,MO,17860,"Columbia, MO",15-1152,Computer Network Support Specialists,200,26.44,54990
78370,MO,17860,"Columbia, MO",15-1199,"Computer Occupations, All Other",150,32,66570
78680,MO,27620,"Jefferson City, MO",15-0000,Computer and Mathematical Occupations,2780,27.24,56650
78681,MO,27620,"Jefferson City, MO",15-1121,Computer Systems Analysts,220,31.5,65520
78682,MO,27620,"Jefferson City, MO",15-1131,Computer Programmers,90,29.72,61820
78683,MO,27620,"Jefferson City, MO",15-1132,"Software Developers, Applications",210,36.31,75530
78684,MO,27620,"Jefferson City, MO",15-1133,"Software Developers, Systems Software",**,30.23,62890
78685,MO,27620,"Jefferson City, MO",15-1141,Database Administrators,110,33.41,69490
78686,MO,27620,"Jefferson City, MO",15-1142,Network and Computer Systems Administrators,680,28.56,59410
78687,MO,27620,"Jefferson City, MO",15-1143,Computer Network Architects,40,35.65,74160
78688,MO,27620,"Jefferson City, MO",15-1151,Computer User Support Specialists,380,21.67,45070
78689,MO,27620,"Jefferson City, MO",15-1152,Computer Network Support Specialists,490,21.06,43800
78690,MO,27620,"Jefferson City, MO",15-1199,"Computer Occupations, All Other",80,33.57,69820
78977,MO,27900,"Joplin, MO",15-0000,Computer and Mathematical Occupations,940,30.31,63050
